season,crop,area,production
Rabi,Sesamum,154,50
Rabi,Small millets,15,9
Rabi,Urad,7074,4096
Rabi,Wheat,941,867
Whole Year,Banana,1862,49164
Whole Year,Beans & Mutter(Vegetable),356,1838
Whole Year,Bhindi,6908,51451
Whole Year,Bottle Gourd,2,0
Whole Year,Brinjal,997,29822
Whole Year,Cabbage,2,0
Whole Year,Citrus Fruit,98,497
Whole Year,Coconut,100,425733
Whole Year,Coriander,17839,5584
Whole Year,Cucumber,141,0
Whole Year,Mango,3021,14250
Whole Year,Orange,769,6280
Whole Year,Other Fresh Fruits,549,948
Whole Year,Other Vegetables,1481,0
Whole Year,Papaya,186,24263
Whole Year,Pome Fruit,139,7213
Whole Year,Potato,1,5
Whole Year,Sugarcane,80,5906
Whole Year,Sweet potato,17,184
Whole Year,Tobacco,7240,6830
Whole Year,Tomato,21469,142009
Whole Year,Turmeric,878,2848
Kharif,Arhar/Tur,33380,13552
Kharif,Bajra,14793,17707
Kharif,Castor seed,11557,4831
Kharif,Cotton(lint),39274,42739
Kharif,Dry chillies,11597,25026
Kharif,Groundnut,172279,164182
Kharif,Horse-gram,8,3
Kharif,Jowar,13685,62280
Kharif,Korra,17008,13589
Kharif,Maize,3534,6064
Kharif,Moong(Green Gram),11210,6098
Kharif,Onion,9665,153461
Kharif,Other Kharif pulses,99,26
Kharif,Ragi,7,6
Kharif,Rice,34618,100635
Kharif,Sesamum,429,126
Kharif,Small millets,16995,13579
Kharif,Sunflower,216637,142013
Kharif,Urad,1586,977
Rabi,Arhar/Tur,197,80
Rabi,Bajra,236,282
Rabi,Dry chillies,932,1947
Rabi,Gram,139705,110507
Rabi,Groundnut,17180,31628
Rabi,Horse-gram,1143,618
Rabi,Jowar,104115,139618
Rabi,Linseed,1,0
Rabi,Maize,1490,8344
Rabi,Moong(Green Gram),77,26
Rabi,Onion,1184,26927
Rabi,Other  Rabi pulses,26,5
Rabi,other oilseeds,13,
Rabi,Rapeseed &Mustard,145,48
Rabi,Rice,4966,11377
Rabi,Safflower,2420,813
Rabi,Sesamum,78,14
Rabi,Small millets,13,10
Rabi,Urad,951,368
Rabi,Wheat,694,206
Whole Year,Banana,2960,23820
Whole Year,Beans & Mutter(Vegetable),686,3441
Whole Year,Bhindi,5506,47726
Whole Year,Bottle Gourd,36,0
Whole Year,Brinjal,1495,27359
Whole Year,Cabbage,11,0
Whole Year,Citrus Fruit,114,1918
Whole Year,Coconut,86,342720
Whole Year,Coriander,15401,4913
Whole Year,Cucumber,399,0
Whole Year,Grapes,4,69
Whole Year,Mango,4174,61878
Whole Year,Orange,910,15208
Whole Year,Other Fresh Fruits,581,1280
Whole Year,Other Vegetables,2392,0
Whole Year,Papaya,187,16981
Whole Year,Pome Fruit,148,8420
Whole Year,Sugarcane,435,31537
Whole Year,Sweet potato,15,108
Whole Year,Tobacco,13777,17318
Whole Year,Tomato,19358,293269
Whole Year,Turmeric,691,4806
Kharif,Arhar/Tur,33205,14643
Kharif,Bajra,10376,9598
Kharif,Castor seed,10144,5931
Kharif,Cotton(lint),74578,64488
Kharif,Dry chillies,16951,33088
Kharif,Groundnut,181856,170035
Kharif,Jowar,16448,64871
Kharif,Maize,7241,20782
Kharif,Moong(Green Gram),5551,2065
Kharif,Onion,13121,234367
Kharif,Other Kharif pulses,103,17
Kharif,Ragi,16,22
Kharif,Rice,61465,210702
Kharif,Sesamum,199,19
Kharif,Small millets,14814,9437
Kharif,Sunflower,201629,106527
Kharif,Urad,1017,490
Rabi,Arhar/Tur,318,140
Rabi,Bajra,760,703
Rabi,Dry chillies,468,2275
Rabi,Gram,110677,120527
Rabi,Groundnut,19367,36933
Rabi,Horse-gram,981,130
Rabi,Jowar,86637,139745
Rabi,Linseed,6,1
Rabi,Maize,769,5559
Rabi,Moong(Green Gram),258,84
Rabi,Onion,953,17928
Rabi,Other  Rabi pulses,37,8
Rabi,Rapeseed &Mustard,1557,750
Rabi,Rice,12058,37549
Rabi,Safflower,1070,260
Rabi,Sesamum,114,74
Rabi,Small millets,11,7
Rabi,Sunflower,120469,68788
Rabi,Urad,2158,1368
Rabi,Wheat,393,88
Whole Year,Banana,1302,37774
Whole Year,Coconut,64,486530
Whole Year,Coriander,9147,2451
Whole Year,Potato,142,1406
Whole Year,Sugarcane,393,34395
Whole Year,Sweet potato,26,53
Whole Year,Tobacco,12981,14110
Whole Year,Turmeric,1568,14151
Kharif,Arhar/Tur,35437,25869
Kharif,Bajra,10949,13391
Kharif,Castor seed,21372,15623
Kharif,Cotton(lint),24333,22615
Kharif,Dry chillies,8426,13659
Kharif,Groundnut,224525,243610
Kharif,Horse-gram,25,10
Kharif,Jowar,20905,87801
Kharif,Maize,8188,51380
Kharif,Moong(Green Gram),4816,3337
Kharif,Onion,12216,254752
Kharif,Other Kharif pulses,54,12
Kharif,Ragi,7,10
Kharif,Rice,88555,292586
Kharif,Sesamum,162,27
Kharif,Small millets,14285,12742
Kharif,Soyabean,994,548
Kharif,Urad,1304,449
Rabi,Bajra,1241,1518
Rabi,Dry chillies,414,1528
Rabi,Gram,138260,226885
Rabi,Groundnut,26985,53997
Rabi,Horse-gram,1406,531
Rabi,Jowar,73299,140514
Rabi,Linseed,6,2
Rabi,Maize,929,6941
Rabi,Moong(Green Gram),105,32
Rabi,Onion,2559,60664
Rabi,Other  Rabi pulses,73,22
Rabi,Ragi,6,10
Rabi,Rapeseed &Mustard,4488,2482
Rabi,Rice,20079,65980
Rabi,Safflower,1373,487
Rabi,Sesamum,117,79
Rabi,Small millets,3,3
Rabi,Urad,670,421
Rabi,Wheat,711,418
Whole Year,Banana,1234,28942
Whole Year,Coconut,60,227136
Whole Year,Coriander,6514,2736
Whole Year,Sugarcane,1817,175635
Whole Year,Sunflower,180697,106120
Whole Year,Sweet potato,8,42
Whole Year,Tobacco,13857,14927
Whole Year,Turmeric,978,7409
Kharif,Arhar/Tur,32801,9742
Kharif,Bajra,8784,7993
Kharif,Castor seed,10468,5255
Kharif,Cotton(lint),17223,22896
Kharif,Dry chillies,11290,29196
Kharif,Groundnut,186459,114113
Kharif,Jowar,4905,9839
Kharif,Maize,11988,40028
Kharif,Mesta,160,1405
Kharif,Moong(Green Gram),3945,489
Kharif,Onion,11174,203065
Kharif,Other Kharif pulses,3,1
Kharif,Ragi,1,1
Kharif,Rice,80692,270238
Kharif,Sesamum,198,51
Kharif,Small millets,7615,5056
Kharif,Soyabean,519,529
Kharif,Urad,2849,1091
Rabi,Arhar/Tur,202,60
Rabi,Bajra,681,620
Rabi,Dry chillies,461,1720
Rabi,Gram,217586,207142
Rabi,Groundnut,24156,45051
Rabi,Horse-gram,1474,731
Rabi,Jowar,68331,102838
Rabi,Maize,1731,13116
Rabi,Moong(Green Gram),434,162
Rabi,Onion,1321,29893
Rabi,Other  Rabi pulses,65,31
Rabi,Rapeseed &Mustard,4622,2727
Rabi,Rice,12475,36764
Rabi,Safflower,708,280
Rabi,Sesamum,659,373
Rabi,Small millets,61,41
Rabi,Urad,3323,2599
Rabi,Wheat,670,176
Whole Year,Banana,2128,45722
Whole Year,Coconut,52,421974
Whole Year,Coriander,6517,2020
Whole Year,Dry ginger,1,3
Whole Year,Sugarcane,2246,210675
Whole Year,Sunflower,174126,112494
Whole Year,Sweet potato,6,33
Whole Year,Tobacco,8155,9251
Whole Year,Turmeric,1183,9277
Kharif,Arhar/Tur,34000,22000
Kharif,Bajra,10000,11000
Kharif,Castor seed,14000,10000
Kharif,Cotton(lint),29000,48000
Kharif,Dry chillies,13000,42000
Kharif,Groundnut,206000,259000
Kharif,Jowar,5000,17000
Kharif,Maize,18000,104000
Kharif,Moong(Green Gram),9000,6000
Kharif,Onion,14000,248000
Kharif,Rice,90000,332000
Kharif,Small millets,9000,9000
Kharif,Sunflower,72000,44000
Kharif,Urad,8000,5000
Rabi,Dry chillies,1000,2000
Rabi,Gram,236000,412000
Rabi,Groundnut,31000,74000
Rabi,Horse-gram,1000,1000
Rabi,Jowar,63000,135000
Rabi,Maize,2000,16000
Rabi,Onion,2000,37000
Rabi,Rice,19000,51000
Rabi,Sunflower,85000,90000
Rabi,Urad,2000,1000
Whole Year,Sugarcane,2000,143000
Whole Year,Tobacco,7000,10000
Kharif,Arhar/Tur,30259,10470
Kharif,Bajra,7864,8540
Kharif,Castor seed,15055,11337
Kharif,Cotton(lint),23397,42803
Kharif,Dry chillies,13742,33407
Kharif,Groundnut,223958,126984
Kharif,Jowar,10834,32329
Kharif,Maize,17806,90454
Kharif,Mesta,2,16
Kharif,Moong(Green Gram),926,361
Kharif,Onion,16549,294241
Kharif,Rice,84066,279856
Kharif,Sesamum,107,21
Kharif,Small millets,7232,5655
Kharif,Soyabean,89,121
Kharif,Urad,1133,411
Rabi,Arhar/Tur,162,56
Rabi,Bajra,368,400
Rabi,Dry chillies,343,707
Rabi,Gram,224086,327390
Rabi,Groundnut,22185,49162
Rabi,Horse-gram,1128,749
Rabi,Jowar,55426,134186
Rabi,Maize,3512,31011
Rabi,Moong(Green Gram),63,21
Rabi,Onion,1674,41274
Rabi,Rapeseed &Mustard,4591,3012
Rabi,Rice,27383,97073
Rabi,Safflower,380,147
Rabi,Sesamum,332,144
Rabi,Small millets,113,88
Rabi,Urad,988,662
Rabi,Wheat,747,405
Whole Year,Banana,2227,59036
Whole Year,Coconut,71,646668
Whole Year,Coriander,6452,4445
Whole Year,Potato,15,135
Whole Year,Sugarcane,1055,94785
Whole Year,Sunflower,144534,113086
Whole Year,Sweet potato,7,40
Whole Year,Tobacco,11614,18513
Whole Year,Turmeric,941,9495
Kharif,Arhar/Tur,30703,15720
Kharif,Bajra,6259,4519
Kharif,Castor seed,36210,18032
Kharif,Cotton(lint),36070,52620
Kharif,Dry chillies,11187,26099
Kharif,Groundnut,167441,70158
Kharif,Jowar,12262,31943
Kharif,Maize,10824,29008
Kharif,Moong(Green Gram),1758,450
Kharif,Onion,13868,243855
Kharif,Rice,81908,256454
Kharif,Sesamum,33,8
Kharif,Small millets,5609,30
Kharif,Soyabean,73,60
Kharif,Urad,3102,915
Rabi,Arhar/Tur,3257,1668
Rabi,Bajra,488,352
Rabi,Dry chillies,889,2978
Rabi,Gram,239387,335860
Rabi,Groundnut,23915,53617
Rabi,Horse-gram,1396,967
Rabi,Jowar,59444,97072
Rabi,Maize,4191,30636
Rabi,Moong(Green Gram),370,148
Rabi,Onion,1454,35200
Rabi,Rapeseed &Mustard,2661,1974
Rabi,Rice,44772,157911
Rabi,Safflower,713,194
Rabi,Sesamum,639,213
Rabi,Small millets,82,44
Rabi,Urad,3468,2566
Rabi,Wheat,550,251
Whole Year,Banana,2253,55933
Whole Year,Coconut,49,289755
Whole Year,Coriander,9282,6646
Whole Year,Potato,8,69
Whole Year,Sugarcane,1406,116158
Whole Year,Sunflower,140629,84432
Whole Year,Sweet potato,74,436
Whole Year,Tobacco,18627,31479
Whole Year,Turmeric,995,12047
Kharif,Arhar/Tur,68092,29075
Kharif,Bajra,7195,10692
Kharif,Castor seed,71168,62414
Kharif,Cotton(lint),54003,111375
Kharif,Dry chillies,10908,31546
Kharif,Groundnut,153489,91633
Kharif,Jowar,1555,5057
Kharif,Maize,14588,78498
Kharif,Mesta,447,4001
Kharif,Moong(Green Gram),6683,2119
Kharif,Onion,16300,360197
Kharif,Rice,104110,291475
Kharif,Sesamum,66,11
Kharif,Small millets,9741,9049
Kharif,Soyabean,130,221
Kharif,Urad,8143,3436
Rabi,Arhar/Tur,2081,889
Rabi,Bajra,416,618
Rabi,Dry chillies,636,1299
Rabi,Gram,217475,265102
Rabi,Groundnut,25403,59265
Rabi,Horse-gram,965,543
Rabi,Jowar,54101,98410
Rabi,Maize,5551,50608
Rabi,Moong(Green Gram),1525,535
Rabi,Onion,3014,84151
Rabi,Ragi,5,7
Rabi,Rapeseed &Mustard,4909,12582
Rabi,Rice,32967,105626
Rabi,Safflower,827,789
Rabi,Sesamum,615,216
Rabi,Small millets,410,381
Rabi,Urad,13373,7141
Rabi,Wheat,563,808
Whole Year,Banana,2018,54942
Whole Year,Coriander,3659,2477
Whole Year,Potato,14,157
Whole Year,Sugarcane,1738,168912
Whole Year,Sunflower,78213,63375
Whole Year,Sweet potato,6,77
Whole Year,Tobacco,12141,21405
Whole Year,Turmeric,1918,15098
Kharif,Arhar/Tur,48261,12789
Kharif,Bajra,5174,2427
Kharif,Castor seed,115092,7021
Kharif,Cotton(lint),97242,122387
Kharif,Cowpea(Lobia),4,1
Kharif,Dry chillies,19629,41535
Kharif,Groundnut,84011,20835
Kharif,Jowar,14115,46368
Kharif,Maize,21650,92705
Kharif,Mesta,1005,7806
Kharif,Moong(Green Gram),1284,824
Kharif,Onion,24460,358241
Kharif,Ragi,2,2
Kharif,Rice,91984,333882
Kharif,Sesamum,19,4
Kharif,Small millets,8704,5692
Kharif,Soyabean,101,163
Kharif,Urad,3657,1949
Rabi,Arhar/Tur,760,201
Rabi,Bajra,619,290
Rabi,Cowpea(Lobia),12,10
Rabi,Dry chillies,911,1188
Rabi,Gram,201034,153188
Rabi,Groundnut,17307,26428
Rabi,Horse-gram,593,347
Rabi,Jowar,70555,128692
Rabi,Maize,7852,60924
Rabi,Moong(Green Gram),1518,906
Rabi,Onion,2449,68156
Rabi,Rapeseed &Mustard,3040,7478
Rabi,Rice,14738,46042
Rabi,Safflower,143,104
Rabi,Sesamum,425,218
Rabi,Small millets,535,350
Rabi,Urad,8925,6256
Rabi,Wheat,221,243
Whole Year,Banana,612,18621
Whole Year,Coconut,15,119280
Whole Year,Coriander,3151,1711
Whole Year,Potato,32,321
Whole Year,Sugarcane,985,100261
Whole Year,Sunflower,32425,21656
Whole Year,Sweet potato,41,527
Whole Year,Tobacco,9007,14529
Whole Year,Turmeric,4778,39371
Kharif,Arhar/Tur,49734,24121
Kharif,Bajra,11611,15141
Kharif,Brinjal,603,8268
Kharif,Cabbage,8,211
Kharif,Castor seed,66013,25085
Kharif,Coriander,1107,716
Kharif,Cotton(lint),154899,175856
Kharif,Dry chillies,12504,23945
Kharif,Grapes,1,18
Kharif,Groundnut,118724,88449
Kharif,Horse-gram,3,2
Kharif,Jowar,14661,53029
Kharif,Lemon,43,382
Kharif,Maize,33567,162162
Kharif,Mango,3352,30765
Kharif,Mesta,41,354
Kharif,Moong(Green Gram),1357,750
Kharif,Onion,14931,291483
Kharif,Papaya,107,11656
Kharif,Pome Granet,47,630
Kharif,Rice,72625,276774
Kharif,Sapota,365,4818
Kharif,Sesamum,12,3
Kharif,Small millets,18493,22210
Kharif,Soyabean,69,125
Kharif,Sugarcane,1468,138519
Kharif,Sunflower,7499,5977
Kharif,Tobacco,80,113
Kharif,Tomato,4314,50051
Kharif,Turmeric,2435,60210
Kharif,Urad,3370,3185
Rabi,Arhar/Tur,689,334
Rabi,Bajra,737,961
Rabi,Brinjal,265,3633
Rabi,Cabbage,5,132
Rabi,Castor seed,1025,390
Rabi,Coriander,1950,1262
Rabi,Cotton(lint),95,108
Rabi,Cowpea(Lobia),40,37
Rabi,Dry chillies,638,1453
Rabi,Gram,218223,231971
Rabi,Groundnut,22535,44597
Rabi,Horse-gram,714,473
Rabi,Jowar,67191,114762
Rabi,Maize,8739,61925
Rabi,Moong(Green Gram),889,600
Rabi,Onion,1629,30156
Rabi,Potato,25,440
Rabi,Rapeseed &Mustard,1648,981
Rabi,Rice,16840,60102
Rabi,Safflower,251,131
Rabi,Sesamum,442,253
Rabi,Small millets,332,399
Rabi,Sunflower,23077,17354
Rabi,Tobacco,6575,9277
Rabi,Tomato,617,13754
Rabi,Urad,4966,7307
Rabi,Wheat,314,421
Whole Year,Coconut,16,138000
Kharif,Arhar/Tur,42964,17959
Kharif,Bajra,7614,8642
Kharif,Brinjal,266,4558
Kharif,Cabbage,2,38
Kharif,Castor seed,27505,12927
Kharif,Coriander,490,317
Kharif,Cotton(lint),203835,679850
Kharif,Dry chillies,15252,57775
Kharif,Grapes,5,91
Kharif,Groundnut,150918,136128
Kharif,Horse-gram,4,2
Kharif,Jowar,10958,32808
Kharif,Lemon,43,220
Kharif,Maize,38761,212333
Kharif,Mango,3279,28101
Kharif,Mesta,36,330
Kharif,Moong(Green Gram),1261,1400
Kharif,Onion,14961,299923
Kharif,other oilseeds,27555,13008
Kharif,Papaya,77,7538
Kharif,Pome Granet,35,505
Kharif,Rice,92596,340383
Kharif,Sapota,285,2681
Kharif,Sesamum,44,20
Kharif,Small millets,11066,10136
Kharif,Soyabean,50,81
Kharif,Sugarcane,751,80420
Kharif,Sunflower,7047,5433
Kharif,Tobacco,294,534
Kharif,Tomato,2152,25785
Kharif,Turmeric,1771,32305
Kharif,Urad,2248,2091
Rabi,Arhar/Tur,531,222
Rabi,Bajra,219,249
Rabi,Brinjal,396,6785
Rabi,Cabbage,35,657
Rabi,Castor seed,42,20
Rabi,Coriander,1584,1025
Rabi,Cotton(lint),179,597
Rabi,Cowpea(Lobia),57,47
Rabi,Dry chillies,285,568
Rabi,Gram,201345,277856
Rabi,Groundnut,16855,34384
Rabi,Horse-gram,567,320
Rabi,Jowar,49305,90721
Rabi,Maize,13120,97796
Rabi,Moong(Green Gram),785,491
Rabi,Onion,2134,62027
Rabi,Rapeseed &Mustard,2466,1783
Rabi,Rice,32298,118017
Rabi,Safflower,144,70
Rabi,Sesamum,1473,532
Rabi,Small millets,36,33
Rabi,Soyabean,20,32
Rabi,Sunflower,15040,13716
Rabi,Tobacco,5378,9778
Rabi,Tomato,565,13067
Rabi,Turmeric,1,18
Rabi,Urad,2551,2005
Rabi,Wheat,274,202
Whole Year,Banana,1632,51539
Whole Year,Castor seed,27547,12947
Whole Year,Coconut,8,58000
Whole Year,Coriander,2074,1342
Whole Year,Potato,17,244
Whole Year,Safflower,144,70
Whole Year,Sannhamp,18,
Whole Year,Wheat,274,202
Kharif,Arhar/Tur,43233,18460
Kharif,Bajra,5056,7083
Kharif,Brinjal,732,17375
Kharif,Cabbage,11,136
Kharif,Castor seed,31651,18104
Kharif,Cotton(lint),306058,809620
Kharif,Dry chillies,13822,70022
Kharif,Grapes,5,115
Kharif,Groundnut,94160,67607
Kharif,Jowar,17060,41951
Kharif,Lemon,146,1270
Kharif,Maize,38554,138717
Kharif,Mango,3446,21675
Kharif,Moong(Green Gram),1604,1978
Kharif,Onion,22754,436353
Kharif,Papaya,165,12990
Kharif,Pome Granet,84,870
Kharif,Rice,91569,361514
Kharif,Safflower,85,37
Kharif,Sapota,306,2560
Kharif,Sesamum,78,21
Kharif,Small millets,6681,5859
Kharif,Soyabean,200,235
Kharif,Sugarcane,714,83391
Kharif,Sunflower,4184,3397
Kharif,Tobacco,86,257
Kharif,Tomato,2811,38592
Kharif,Turmeric,2037,35705
Kharif,Urad,2383,3160
Rabi,Arhar/Tur,496,212
Rabi,Bajra,184,258
Rabi,Brinjal,584,13862
Rabi,Cabbage,131,1615
Rabi,Castor seed,366,209
Rabi,Coriander,10989,3857
Rabi,Cotton(lint),2,6
Rabi,Cowpea(Lobia),20,22
Rabi,Dry chillies,496,1549
Rabi,Dry ginger,36,103
Rabi,Gram,143877,190205
Rabi,Groundnut,13725,31595
Rabi,Horse-gram,380,174
Rabi,Jowar,50107,94001
Rabi,Maize,7612,47347
Rabi,Moong(Green Gram),1862,1527
Rabi,Onion,2012,47964
Rabi,Papaya,5,394
Rabi,Potato,7,121
Rabi,Rapeseed &Mustard,4477,2906
Rabi,Rice,23329,82748
Rabi,Safflower,68,30
Rabi,Sesamum,3033,2172
Rabi,Small millets,552,484
Rabi,Soyabean,105,123
Rabi,Sunflower,8362,10294
Rabi,Tobacco,6169,18458
Rabi,Tomato,618,15300
Rabi,Urad,8785,17131
Rabi,Wheat,46,61
Whole Year,Coconut,8,67000
Whole Year,Rice,114898,444262
Kharif,Arhar/Tur,34700,2200
Kharif,Bajra,12200,11600
Kharif,Castor seed,7200,900
Kharif,Cotton(lint),39900,47500
Kharif,Dry chillies,7100,7100
Kharif,Groundnut,7000,4300
Kharif,Jowar,3700,2100
Kharif,Korra,1400,1400
Kharif,Maize,1800,8100
Kharif,Moong(Green Gram),6000,2300
Kharif,Rice,62000,124300
Kharif,Sesamum,3700,700
Kharif,Sugarcane,400,27200
Kharif,Sunflower,14100,7000
Kharif,Tobacco,79100,63600
Kharif,Urad,800,100
Rabi,Dry chillies,4500,6900
Rabi,Gram,15100,7400
Rabi,Groundnut,11900,14200
Rabi,Horse-gram,2500,900
Rabi,Jowar,4200,8100
Rabi,Maize,4700,17600
Rabi,Moong(Green Gram),4700,2000
Rabi,Ragi,4600,5800
Rabi,Rice,74200,222100
Rabi,Sesamum,2500,100
Rabi,Sunflower,600,200
Rabi,Urad,22200,7500
Rabi,Varagu,2100,1300
Kharif,Arhar/Tur,46900,29900
Kharif,Bajra,17200,23800
Kharif,Castor seed,8700,3000
Kharif,Cotton(lint),62800,82400
Kharif,Dry chillies,14400,24900
Kharif,Groundnut,6900,5300
Kharif,Jowar,2400,700
Kharif,Korra,1600,1200
Kharif,Maize,4500,13800
Kharif,Moong(Green Gram),13100,8200
Kharif,Rice,72100,206700
Kharif,Sesamum,3400,600
Kharif,Small millets,300,200
Kharif,Sunflower,14300,10800
Kharif,Urad,400,300
Rabi,Arhar/Tur,700,500
Rabi,Bajra,400,500
Rabi,Dry chillies,4500,10700
Rabi,Gram,13000,25400
Rabi,Groundnut,12200,18400
Rabi,Horse-gram,1700,800
Rabi,Jowar,3100,4100
Rabi,Maize,1200,5800
Rabi,Moong(Green Gram),3200,2600
Rabi,Ragi,4500,9500
Rabi,Rice,73800,248900
Rabi,Sesamum,22100,7400
Rabi,Sunflower,800,500
Rabi,Urad,11900,6900
Rabi,Varagu,1600,1400
Whole Year,Sugarcane,300,22600
Whole Year,Tobacco,74500,80400
Kharif,Bajra,15401,20668
Kharif,Castor seed,11170,2279
Kharif,Cotton(lint),41514,45665
Kharif,Groundnut,5174,3984
Kharif,Horse-gram,37,17
Kharif,Jowar,2485,634
Kharif,Maize,7137,29383
Kharif,Masoor,56326,15490
Kharif,Moong(Green Gram),12857,9128
Kharif,Ragi,270,281
Kharif,Rice,70189,190583
Kharif,Sesamum,9399,235
Kharif,Sunflower,9922,8770
Kharif,Urad,1225,747
Rabi,Bajra,718,964
Rabi,Gram,16875,18765
Rabi,Groundnut,8241,10870
Rabi,Horse-gram,1417,456
Rabi,Jowar,6006,2306
Rabi,Maize,3288,15917
Rabi,Masoor,522,144
Rabi,Moong(Green Gram),5569,980
Rabi,Ragi,4246,6420
Rabi,Rapeseed &Mustard,24,4
Rabi,Rice,54885,129541
Rabi,Sesamum,11286,2596
Rabi,Urad,20019,6506
Whole Year,Dry chillies,25519,38806
Whole Year,Onion,303,4590
Whole Year,Sugarcane,343,27265
Whole Year,Tobacco,65876,53294
Kharif,Arhar/Tur,95553,60198
Kharif,Bajra,28546,42876
Kharif,Castor seed,25057,7717
Kharif,Cotton(lint),47128,61544
Kharif,Dry chillies,16383,30751
Kharif,Gram,61,145
Kharif,Groundnut,4844,4190
Kharif,Horse-gram,15,8
Kharif,Jowar,2992,1110
Kharif,Korra,1321,1263
Kharif,Maize,12141,42093
Kharif,Mesta,1,9
Kharif,Moong(Green Gram),30049,12170
Kharif,Onion,173,2414
Kharif,Other Kharif pulses,6,3
Kharif,Ragi,150,142
Kharif,Rice,50601,156559
Kharif,Samai,180,120
Kharif,Sesamum,24475,4479
Kharif,Small millets,1508,1388
Kharif,Sunflower,4622,7021
Kharif,Urad,3130,185
Kharif,Varagu,7,5
Rabi,Arhar/Tur,420,265
Rabi,Bajra,1807,2714
Rabi,Dry chillies,4607,9417
Rabi,Gram,33531,79737
Rabi,Groundnut,9927,12180
Rabi,Horse-gram,1218,257
Rabi,Jowar,6206,4996
Rabi,Korra,20,19
Rabi,Maize,3137,16890
Rabi,Moong(Green Gram),3199,2514
Rabi,Onion,56,984
Rabi,Other  Rabi pulses,134,66
Rabi,Ragi,5951,12241
Rabi,Rapeseed &Mustard,3,
Rabi,Rice,96893,316840
Rabi,Samai,59,39
Rabi,Sesamum,2303,481
Rabi,Small millets,1579,1192
Rabi,Urad,35024,29350
Rabi,Varagu,1500,1134
Whole Year,Banana,615,12085
Whole Year,Cashewnut,761,166
Whole Year,Coconut,209,2240700
Whole Year,Coriander,3057,2268
Whole Year,Sugarcane,272,21836
Whole Year,Sweet potato,542,10129
Whole Year,Tobacco,6985,14894
Whole Year,Turmeric,246,1105
Kharif,Arhar/Tur,60581,29139
Kharif,Bajra,7969,9786
Kharif,Castor seed,16484,4088
Kharif,Cotton(lint),37624,62633
Kharif,Dry chillies,14347,33400
Kharif,Groundnut,1524,1212
Kharif,Jowar,1570,898
Kharif,Korra,1266,951
Kharif,Maize,6257,27543
Kharif,Moong(Green Gram),7918,2629
Kharif,Onion,62,860
Kharif,Other Kharif pulses,11,6
Kharif,Ragi,309,342
Kharif,Rice,40841,134204
Kharif,Samai,309,226
Kharif,Sesamum,1171,88
Kharif,Small millets,1575,1177
Kharif,Sunflower,6737,7351
Kharif,Urad,2258,815
Rabi,Arhar/Tur,667,321
Rabi,Bajra,717,880
Rabi,Dry chillies,3920,9776
Rabi,Gram,43496,81512
Rabi,Groundnut,4936,8534
Rabi,Horse-gram,1149,622
Rabi,Jowar,3490,2576
Rabi,Korra,26,20
Rabi,Maize,2872,18705
Rabi,Moong(Green Gram),3786,2862
Rabi,Onion,69,1091
Rabi,Ragi,3963,7795
Rabi,Rapeseed &Mustard,11,3
Rabi,Rice,106540,385888
Rabi,Samai,5,4
Rabi,Sesamum,298,76
Rabi,Small millets,823,683
Rabi,Urad,35628,20237
Rabi,Varagu,792,659
Rabi,Wheat,15,10
Whole Year,Banana,511,8370
Whole Year,Cashewnut,702,193
Whole Year,Coconut,202,2195568
Whole Year,Coriander,2993,2317
Whole Year,Sugarcane,287,23462
Whole Year,Sweet potato,605,9829
Whole Year,Tobacco,51549,57805
Whole Year,Turmeric,314,1357
Kharif,Arhar/Tur,54781,12271
Kharif,Bajra,10062,9378
Kharif,Castor seed,11040,1910
Kharif,Cotton(lint),24364,28377
Kharif,Dry chillies,11789,13805
Kharif,Groundnut,1711,1761
Kharif,Jowar,792,264
Kharif,Maize,6448,168
Kharif,Mesta,1,8
Kharif,Moong(Green Gram),25955,1376
Kharif,Niger seed,832,320
Kharif,Onion,123,1470
Kharif,Ragi,214,184
Kharif,Rice,19256,46927
Kharif,Sesamum,6279,276
Kharif,Small millets,634,432
Kharif,Soyabean,12,0
Kharif,Sunflower,15013,16269
Kharif,Urad,1144,59
Rabi,Arhar/Tur,650,146
Rabi,Bajra,198,185
Rabi,Dry chillies,4474,6899
Rabi,Gram,67372,88325
Rabi,Groundnut,4925,6531
Rabi,Horse-gram,2105,779
Rabi,Jowar,8739,7009
Rabi,Maize,2230,11538
Rabi,Moong(Green Gram),2115,224
Rabi,Onion,88,1108
Rabi,other oilseeds,92,114
Rabi,Ragi,3872,5676
Rabi,Rapeseed &Mustard,22,2
Rabi,Rice,46223,104325
Rabi,Sesamum,338,111
Rabi,Small millets,1738,626
Rabi,Urad,53538,17293
Rabi,Varagu,2000,1000
Rabi,Wheat,73,67
Whole Year,Banana,538,10429
Whole Year,Beans & Mutter(Vegetable),391,1970
Whole Year,Bhindi,511,3629
Whole Year,Bottle Gourd,7,0
Whole Year,Brinjal,558,7369
Whole Year,Cashewnut,687,85
Whole Year,Citrus Fruit,987,4383
Whole Year,Coconut,202,2267460
Whole Year,Coriander,3841,2124
Whole Year,Cucumber,444,0
Whole Year,Mango,5235,16046
Whole Year,Orange,10581,187420
Whole Year,Other Fresh Fruits,3069,11606
Whole Year,Other Vegetables,1134,0
Whole Year,Papaya,721,94052
Whole Year,Pome Fruit,395,1677
Whole Year,Sugarcane,376,24440
Whole Year,Sweet potato,425,4655
